,ESTABLISHMENT_1,YEAR,PROVINCE_1,REGION,REGION_NUM,MONTH,QTR,COMMODITY,TEMPERATUREARRIVAL_1,VETID.x,FINAL_ID_SEROTYPE,MIC_AMC,MIC_AMK,MIC_AMP,MIC_AZM,MIC_CEP,MIC_CHL,MIC_CIP,MIC_COL,MIC_CRO,MIC_FOX,MIC_GEN,MIC_KAN,MIC_MEM,MIC_NAL,MIC_SSS,MIC_STR,MIC_SXT,MIC_TET,MIC_TIO,hatchery_1,placement_date,age_sampled,stocking_density,farm_capacity_n,Mortality_percent_barn,Mortality_percent_floor,cocci_tx,cocci_tx_info,ara_3GCS_mgKg,ara_FQLS_mgKg,ara_AMIN_mgKg,ara_LINC_AMCL_mgKg,ara_LINC_mgKg,ara_AMCL_mgKg,ara_MACR_mgKg,ara_PENI_mgKg,ara_STRE_mgKg,ara_TMPS_mgKg,ara_BACI_mgKg,ara_TETR_mgKg,ara_SULF_mgKg,ara_FLAV_mgKg,ara_ORTH_mgKg
1,BCSF0001,2013,BRITISH COLUMBIA,BRITISH COLUMBIA,1,5,2,Domestic/Farmed,18.8,BCSV002,Enteritidis,<=1,NA,<=1,8,NA,8,0.03,NA,<=0.25,1,<=0.25,<=8,,4,64,<=32,<=0.12,<=4,1,168,2013-04-16 00:00:00 UTC,37,0.8,10000,4.12745098,3.921568627,Shuttle control,MonNic-LasNic-Las-Dic,0,0.200178423,0,0,0,NA,0,13.96984505,1.505752172,0,22.71323361,0,0,0,0
2,BCSF0001,2013,BRITISH COLUMBIA,BRITISH COLUMBIA,1,5,2,Domestic/Farmed,18.8,BCSV002,Enteritidis,<=1,NA,<=1,4,NA,8,0.03,NA,<=0.25,2,<=0.25,<=8,,4,32,<=32,<=0.12,<=4,1,168,2013-04-16 00:00:00 UTC,37,0.8,10000,4.12745098,3.921568627,Shuttle control,MonNic-LasNic-Las-Dic,0,0.200178423,0,0,0,NA,0,13.96984505,1.505752172,0,22.71323361,0,0,0,0
3,BCSF0001,2013,BRITISH COLUMBIA,BRITISH COLUMBIA,1,5,2,Domestic/Farmed,18.8,BCSV002,Enteritidis,<=1,NA,<=1,4,NA,8,<=0.015,NA,<=0.25,2,<=0.25,<=8,,4,64,<=32,<=0.12,<=4,1,168,2013-04-16 00:00:00 UTC,37,0.8,10000,4.12745098,3.921568627,Shuttle control,MonNic-LasNic-Las-Dic,0,0.200178423,0,0,0,NA,0,13.96984505,1.505752172,0,22.71323361,0,0,0,0
4,BCSF0002,2013,BRITISH COLUMBIA,BRITISH COLUMBIA,1,5,2,Domestic/Farmed,18.3,BCSV002,Liverpool,<=1,NA,2,2,NA,4,<=0.015,NA,<=0.25,4,<=0.25,<=8,,2,32,<=32,<=0.12,<=4,1,168,2013-04-16 00:00:00 UTC,37,0.8,40000,9.342060524,10.0022668,Shuttle control,MonNic-LasNic-Las-Dic,0,0.200178423,0,0,0,NA,0,27.6229638,1.505752173,0,29.96195739,0,0,0,0
5,BCSF0002,2013,BRITISH COLUMBIA,BRITISH COLUMBIA,1,5,2,Domestic/Farmed,18.3,BCSV002,Enteritidis,<=1,NA,<=1,4,NA,8,0.03,NA,<=0.25,2,0.5,<=8,,4,64,<=32,<=0.12,<=4,1,168,2013-04-16 00:00:00 UTC,37,0.8,40000,9.342060524,10.0022668,Shuttle control,MonNic-LasNic-Las-Dic,0,0.200178423,0,0,0,NA,0,27.6229638,1.505752173,0,29.96195739,0,0,0,0
6,BCSF0002,2013,BRITISH COLUMBIA,BRITISH COLUMBIA,1,5,2,Domestic/Farmed,18.3,BCSV002,Liverpool,<=1,NA,<=1,4,NA,8,<=0.015,NA,<=0.25,4,<=0.25,<=8,,4,32,<=32,<=0.12,<=4,1,168,2013-04-16 00:00:00 UTC,37,0.8,40000,9.342060524,10.0022668,Shuttle control,MonNic-LasNic-Las-Dic,0,0.200178423,0,0,0,NA,0,27.6229638,1.505752173,0,29.96195739,0,0,0,0
7,BCSF0002,2013,BRITISH COLUMBIA,BRITISH COLUMBIA,1,5,2,Domestic/Farmed,18.3,BCSV002,Liverpool,<=1,NA,<=1,4,NA,4,<=0.015,NA,<=0.25,4,0.5,<=8,,4,32,<=32,<=0.12,<=4,1,168,2013-04-16 00:00:00 UTC,37,0.8,40000,9.342060524,10.0022668,Shuttle control,MonNic-LasNic-Las-Dic,0,0.200178423,0,0,0,NA,0,27.6229638,1.505752173,0,29.96195739,0,0,0,0
8,BCSF0003,2013,BRITISH COLUMBIA,BRITISH COLUMBIA,1,8,3,Domestic/Farmed,22.1,BCSV002,Enteritidis,<=1,NA,<=1,8,NA,8,<=0.015,NA,<=0.25,2,<=0.25,<=8,,2,64,<=32,<=0.12,<=4,1,168,2013-07-12 00:00:00 UTC,35,0.72,55000,5.893009378,6.202046036,Shuttle control,LasNic-Dic,0.01944074705,0,0,0,NA,NA,0,0,0,0,58.10503129,0,0,0,0
9,BCSF0003,2013,BRITISH COLUMBIA,BRITISH COLUMBIA,1,8,3,Domestic/Farmed,22.1,BCSV002,Enteritidis,<=1,NA,<=1,4,NA,8,<=0.015,NA,<=0.25,2,0.5,<=8,,2,64,<=32,<=0.12,<=4,1,168,2013-07-12 00:00:00 UTC,35,0.72,55000,5.893009378,6.202046036,Shuttle control,LasNic-Dic,0.01944074705,0,0,0,NA,NA,0,0,0,0,58.10503129,0,0,0,0
10,BCSF0003,2013,BRITISH COLUMBIA,BRITISH COLUMBIA,1,8,3,Domestic/Farmed,22.1,BCSV002,Enteritidis,<=1,NA,<=1,8,NA,8,<=0.015,NA,<=0.25,2,<=0.25,<=8,,4,64,<=32,<=0.12,<=4,1,168,2013-07-12 00:00:00 UTC,35,0.72,55000,5.893009378,6.202046036,Shuttle control,LasNic-Dic,0.01944074705,0,0,0,NA,NA,0,0,0,0,58.10503129,0,0,0,0
